incident_id,date,time,operator_name,machine_id,severity,operator_badge,comment,shift
INC-000192,2025-11-08,08:15,OPERATEUR-10,M-06,1,BADGE-07,vibration,matin
INC-000025,2025-04-12,13:20,OPERATEUR-04,M-10,1,BADGE-04,,matin
INC-000123,2025-07-24,15:05,OPERATEUR-07,M-06,2,BADGE-11,bruit anormal,apres-midi
INC-000165,2025-09-25,14:00,OPERATEUR-08,M-12,1,BADGE-08,alarme capteur,apres-midi
INC-000251,2026-01-05,16:10,OPERATEUR-05,M-3,1,BADGE-09,arrêt d'urgence,apres-midi
INC-000227,2025-12-09,12:20,OPERATEUR-10,M-07,2,BADGE-07,,matin
INC-000062,2025-05-20,14:10,OPERATEUR-05,M-01,1,BADGE-09,alarme capteur,apres-midi
INC-000037,2025-04-19,04:10,OPERATEUR-11,M-14,1,BADGE-10,arrêt d'urgence,nuit
INC-000115,2025-07-21,16:00,OPERATEUR-08,M-13,2,BADGE-08,vibration,apres-midi
INC-000241,2025-12-24,14:00,OPERATEUR-05,M-03,2,BADGE-09,vibration,apres-midi
INC-000053,2025-05-10,09:05,OPERATEUR-06,M-10,1,BADGE-05,vibration,matin
INC-000031,2025-04-14,15:15,OPERATEUR-09,M-03,1,BADGE-03,alarme capteur,apres-midi
INC-000160,2025-09-15,14:05,OPERATEUR-03,M-11,2,BADGE-06,,apres-midi
INC-000191,2025-11-03,11:05,OPERATEUR-04,M-08,1,BADGE-04,piece bloquée,matin
INC-000273,2026-02-09,18:15,OPERATEUR-07,M-07,1,BADGE-11,,apres-midi
INC-000233,2025-12-18,19:00,OPERATEUR-07,M-07,3,BADGE-11,chauffe,apres-midi
INC-000265,2026-01-21,10:45,OPERATEUR-06,M-10,1,BADGE-05,surconsommation,matin
INC-000032,2025-04-14,13:20,OPERATEUR-05,M-04,2,BADGE-09,défaut qualité,matin
INC-000171,2025-10-04,18:30,OPERATEUR-09,M-02,1,BADGE-03,,apres-midi
INC-000021,2025-04-03,09:10,OPERATEUR-07,M-10,1,BADGE-11,chauffe,matin
INC-000216,2025-11-30,09:30,OPERATEUR-05,M-01,1,BADGE-09,piece bloquée,matin
INC-000043,2025-04-29,13:15,OPERATEUR-07,M-08,3,BADGE-11,,matin
INC-000149,2025-08-30,16:00,OPERATEUR-04,M-07,1,BADGE-04,,apres-midi
INC-000030,2025-04-14,10:45,OPERATEUR-11,M-14,1,BADGE-10,chauffe,matin
INC-000054,2025-05-11,13:05,OPERATEUR-10,M-06,1,BADGE-07,chauffe,matin
INC-000201,2025-11-17,18:00,OPERATEUR-10,M-06,3,BADGE-07,,apres-midi
INC-000020,2025-03-31,11:00,OPERATEUR-05,M-03,1,BADGE-09,bruit anormal,matin
INC-000172,2025-10-05,14:20,OPERATEUR-08,M-12,1,BADGE-08,,apres-midi
INC-000272,2026-02-02,15:30,OPERATEUR-08,M-13,2,BADGE-08,alarme capteur,apres-midi
INC-000205,2025-11-23,12:15,OPERATEUR-02,M-04,1,BADGE-02,défaut qualité,matin
INC-000213,2025-11-26,15:20,OPERATEUR-03,M-11,1,BADGE-06,piece bloquée,apres-midi
INC-000170,2025-10-03,18:15,OPERATEUR-03,M-14,2,BADGE-06,arrêt d'urgence,apres-midi
INC-000083,2025-06-16,12:05,OPERATEUR-09,M-05,2,BADGE-03,surconsommation,matin
INC-000086,2025-06-20,18:05,OPERATEUR-11,M-13,1,BADGE-10,défaut qualité,apres-midi
